Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/462.libquantum-714B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/462.libquantum-714B.champsimtrace.xz
scooby_state_4011ae|17|1 1541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1542,
scooby_state_4011ae|9|1 1540,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1542,
scooby_state_4011ae|40|1 1539,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1542,
scooby_state_4011ae|10|1 1539,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1542,
scooby_state_4011ae|11|1 1540,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1542,
scooby_state_4011ae|27|1 1539,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1542,
scooby_state_4011ae|14|1 1537,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1542,
scooby_state_4011ae|13|1 1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|42|1 1541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|45|1 1537,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1542,
scooby_state_4011ae|16|1 1539,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1542,
scooby_state_4011ae|36|1 1541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1542,
scooby_state_4011ae|55|1 1540,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1542,
scooby_state_4011ae|8|1 1535,0,0,0,0,0,0,0,1,0,0,4,1,1,0,1542,
scooby_state_4011ae|48|1 1540,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1542,
scooby_state_4011ae|12|1 1538,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1542,
scooby_state_4011ae|21|1 1537,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1542,
scooby_state_4011ae|47|1 1541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1542,
scooby_state_4011ae|43|1 1540,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1542,
scooby_state_4011ae|49|1 1538,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1542,
scooby_state_4011ae|41|1 1539,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|6|1 1541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1542,
scooby_state_4011ae|61|1 1541,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|23|1 1540,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1542,
scooby_state_4011ae|46|1 1540,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1542,
scooby_state_4011ae|28|1 1541,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1542,
scooby_state_4011ae|54|1 1539,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1542,
scooby_state_4011ae|62|1 1538,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1542,
scooby_state_4011ae|29|1 1540,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1542,
scooby_state_4011ae|60|1 1539,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1542,
scooby_state_4011ae|59|1 1541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1542,
scooby_state_4011ae|38|1 1539,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1542,
scooby_state_4011ae|58|1 1540,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1542,
scooby_state_4011ae|57|1 1538,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1542,
scooby_state_4011ae|56|1 1539,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|15|1 1541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1542,
scooby_state_4011ae|53|1 1541,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|52|1 1541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1542,
scooby_state_4011ae|35|1 1537,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1542,
scooby_state_4011ae|51|1 1540,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1542,
scooby_state_4011ae|18|1 1539,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1542,
scooby_state_4011ae|44|1 1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4008d5|54|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_404b41|45|1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_400580|22|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_404071|1|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_405440|17|1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_401150|5|-13 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_405430|16|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_40146b|47|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_405435|55|1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_401181|6|1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_401442|5|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_404b80|46|1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_401483|18|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_4008d0|35|13 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_404b00|44|43 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_40145d|17|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_401438|16|-1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
scooby_state_40145d|52|0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,

scooby_action_0_deg_dist 0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_4_deg_dist 0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_32_deg_dist 0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_3_deg_dist 0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_5_deg_dist 0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_1_deg_dist 0,13421,8938,0,22343,0,240707,0,0,0,0,0,0,0,0,0,
scooby_action_30_deg_dist 0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_-3_deg_dist 0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_10_deg_dist 0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_-1_deg_dist 0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_23_deg_dist 0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_-6_deg_dist 0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_11_deg_dist 0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_22_deg_dist 0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
scooby_action_12_deg_dist 0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

scooby_track_called 285906
scooby_track_same_address 361
scooby_track_evict 285289

scooby_reward_demand_called 285906
scooby_reward_demand_pt_not_found 4972
scooby_reward_demand_pt_found 280934
scooby_reward_demand_pt_found_total 280934
scooby_reward_demand_has_reward 0
scooby_reward_train_called 55
scooby_reward_assign_reward_called 285544
scooby_reward_no_pref 40
scooby_reward_incorrect 15
scooby_reward_correct_untimely 243730
scooby_reward_correct_timely 37204
scooby_reward_out_of_bounds 4555
scooby_reward_tracker_hit 0

scooby_reward_none_low_bw 40
scooby_reward_none_high_bw 0
scooby_reward_incorrect_low_bw 15
scooby_reward_incorrect_high_bw 0
scooby_reward_correct_untimely_low_bw 243730
scooby_reward_correct_untimely_high_bw 0
scooby_reward_correct_timely_low_bw 37204
scooby_reward_correct_timely_high_bw 0
scooby_reward_out_of_bounds_low_bw 4555
scooby_reward_out_of_bounds_high_bw 0
scooby_reward_tracker_hit_low_bw 0
scooby_reward_tracker_hit_high_bw 0

scooby_reward_1 0,13,243705,36964,4462,0,
scooby_reward_3 0,0,11,24,1,0,
scooby_reward_4 0,0,7,22,0,0,
scooby_reward_5 0,0,5,30,1,0,
scooby_reward_10 0,0,1,34,10,0,
scooby_reward_11 0,0,0,27,6,0,
scooby_reward_12 0,0,1,29,4,0,
scooby_reward_22 0,0,0,25,17,0,
scooby_reward_23 0,0,0,22,9,0,
scooby_reward_30 0,0,0,14,26,0,
scooby_reward_32 0,0,0,13,16,0,
scooby_reward_-1 0,0,0,0,0,0,
scooby_reward_-3 0,1,0,0,2,0,
scooby_reward_-6 0,1,0,0,1,0,
scooby_reward_0 40,0,0,0,0,0,

scooby_train_called 285288
scooby_train_compute_reward 55

scooby_register_fill_called 212695
scooby_register_fill_set 37216
scooby_register_fill_set_total 37216

scooby_register_prefetch_hit_called 346839
scooby_register_prefetch_hit_set 179277
scooby_register_prefetch_hit_set_total 179277

scooby_pref_issue_scooby 1470057

learning_engine_featurewise.action.called 285906
learning_engine_featurewise.action.explore 529
learning_engine_featurewise.action.exploit 285377
learning_engine_featurewise.action.fallback 0
learning_engine_featurewise.action.dyn_fallback_saved_bw 0
learning_engine_featurewise.action.dyn_fallback_saved_bw_acc 11
learning_engine_featurewise.action.index_1_explored 32
learning_engine_featurewise.action.index_1_exploited 285377
learning_engine_featurewise.action.index_3_explored 36
learning_engine_featurewise.action.index_3_exploited 0
learning_engine_featurewise.action.index_4_explored 29
learning_engine_featurewise.action.index_4_exploited 0
learning_engine_featurewise.action.index_5_explored 36
learning_engine_featurewise.action.index_5_exploited 0
learning_engine_featurewise.action.index_10_explored 45
learning_engine_featurewise.action.index_10_exploited 0
learning_engine_featurewise.action.index_11_explored 33
learning_engine_featurewise.action.index_11_exploited 0
learning_engine_featurewise.action.index_12_explored 34
learning_engine_featurewise.action.index_12_exploited 0
learning_engine_featurewise.action.index_22_explored 42
learning_engine_featurewise.action.index_22_exploited 0
learning_engine_featurewise.action.index_23_explored 31
learning_engine_featurewise.action.index_23_exploited 0
learning_engine_featurewise.action.index_30_explored 40
learning_engine_featurewise.action.index_30_exploited 0
learning_engine_featurewise.action.index_32_explored 29
learning_engine_featurewise.action.index_32_exploited 0
learning_engine_featurewise.action.index_-1_explored 39
learning_engine_featurewise.action.index_-1_exploited 0
learning_engine_featurewise.action.index_-3_explored 33
learning_engine_featurewise.action.index_-3_exploited 0
learning_engine_featurewise.action.index_-6_explored 30
learning_engine_featurewise.action.index_-6_exploited 0
learning_engine_featurewise.action.index_0_explored 40
learning_engine_featurewise.action.index_0_exploited 0
learning_engine_featurewise.learn.called 285288
learning_engine_featurewise.learn.su_skip_PC 0
learning_engine_featurewise.learn.su_skip_PC_Delta 0

learning_engine_featurewise.q_value_histogram.bucket_0 0
learning_engine_featurewise.q_value_histogram.bucket_1 0
learning_engine_featurewise.q_value_histogram.bucket_2 0
learning_engine_featurewise.q_value_histogram.bucket_3 0
learning_engine_featurewise.q_value_histogram.bucket_4 593
learning_engine_featurewise.q_value_histogram.bucket_5 150
learning_engine_featurewise.q_value_histogram.bucket_6 284634
learning_engine_featurewise.q_value_histogram.bucket_7 0

learning_engine_featurewise.consensus.total 285377
learning_engine_featurewise.consensus.feature_align_PC 285371
learning_engine_featurewise.consensus.feature_align_PC_ratio 1.00
learning_engine_featurewise.consensus.feature_align_PC_Delta 285377
learning_engine_featurewise.consensus.feature_align_PC_Delta_ratio 1.00
learning_engine_featurewise.consensus.feature_align_all 285371
learning_engine_featurewise.consensus.feature_align_all_ratio 1.00

learning_engine_featurewise.feature_PC_min_weight 1000000.00000000
learning_engine_featurewise.feature_PC_max_weight 0.00000000
learning_engine_featurewise.feature_PC_Delta_min_weight 1000000.00000000
learning_engine_featurewise.feature_PC_Delta_max_weight 0.00000000
unique_pcs 18
unique_pages 4475
unique_trigger_pcs 9
total_bitmaps_seen 0
unique_bitmaps_seen 0

scooby_bw_epochs 41733
scooby_bw_level_0 4162
scooby_bw_level_1 9182
scooby_bw_level_2 11012
scooby_bw_level_3 17377

scooby_ipc_epochs 0
scooby_ipc_level_0 0
scooby_ipc_level_1 0
scooby_ipc_level_2 0
scooby_ipc_level_3 0

scooby_cache_acc_epochs 10036
scooby_cache_acc_level_0 1
scooby_cache_acc_level_1 0
scooby_cache_acc_level_2 2
scooby_cache_acc_level_3 12
scooby_cache_acc_level_4 26
scooby_cache_acc_level_5 17
scooby_cache_acc_level_6 22
scooby_cache_acc_level_7 79
scooby_cache_acc_level_8 300
scooby_cache_acc_level_9 9577

Channel_0_RQ_row_buffer_hit 206275
Channel_0_RQ_row_buffer_miss 56910
Channel_0_WQ_row_buffer_hit 16949
Channel_0_WQ_row_buffer_miss 45602
Channel_0_WQ_full 0
Channel_0_dbus_congested 210923

avg_congested_cycle 11

DRAM_bw_pochs 41733
DRAM_bw_level_0 4162
DRAM_bw_level_1 9182
DRAM_bw_level_2 11012
DRAM_bw_level_3 17377
