Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/445.gobmk-30B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/445.gobmk-30B.champsimtrace.xz
scooby_state_40b481|18|-41 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41b4f9|19|-3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_406038|0|-6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_438e83|58|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_442102|4|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|13|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404df9|55|19 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,
scooby_state_43928c|10|7 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0a7|37|3 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a484|18|-45 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_407782|30|-7 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43b00b|0|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_45634b|20|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40b069|1|-6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_439681|26|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_439483|18|10 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e2b8|10|6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bf89|62|60 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|52|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4073e1|46|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_44c4d0|19|0 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ced0|59|47 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_407bd0|47|18 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40c902|36|-20 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_407b46|45|39 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0a7|35|9 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|51|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ec6a|49|-13 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4094b1|12|0 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e0b8|2|-56 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e292|59|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41b234|2|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e256|46|0 0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_406070|1|-2 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41a843|46|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|58|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405001|0|-39 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e256|6|0 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|33|9 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404f60|61|11 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0a7|22|5 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e256|57|46 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457ca5|50|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43fdc3|55|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40b086|2|-57 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e2a0|10|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|53|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0ba|26|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|4|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df18|25|0 0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,
scooby_state_40df7f|56|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_44a284|10|-1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_440442|17|-20 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bbc2|47|-4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457b53|2|-60 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457618|5|-7 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43a018|0|-29 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43fdc3|55|-6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f6|20|-3 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43a480|18|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_439000|0|-62 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43f4c3|19|-39 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43cd01|52|-1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_44c8a0|34|3 1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,
scooby_state_43f302|12|4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40ab04|44|-4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e140|5|-9 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e132|4|-47 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e192|6|-43 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4048f6|35|-1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|44|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_406080|2|-5 0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,
scooby_state_457907|36|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bac1|43|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43d91f|36|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e8bc|34|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4066e0|5|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|56|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_44a840|33|26 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41b158|5|-9 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e256|45|-1 1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,
scooby_state_407943|37|-11 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|10|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_441070|1|-26 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_407c90|50|10 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ce46|57|2 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|52|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_438bc2|47|-15 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|41|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bf4f|61|61 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e292|3|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a680|26|5 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404f90|62|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df56|19|1 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ef80|62|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bd42|53|35 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4058b0|34|15 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e292|2|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0a7|29|3 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_408918|36|-26 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f6|53|24 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ec6a|49|30 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43c9c7|39|2 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40c8f5|47|-1 0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,
scooby_state_43a018|0|-7 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|56|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e256|9|-24 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|8|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41ad81|54|-8 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,
scooby_state_40cc00|48|9 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|15|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|6|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40d1e0|7|2 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|2|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_408f50|61|25 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_44a2d0|11|-8 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|63|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41af00|60|5 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|62|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4390f8|3|-60 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457634|33|3 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,
scooby_state_4076aa|26|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e20b|8|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|24|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|3|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|57|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|11|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e292|7|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_407c48|49|4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4575f2|29|0 0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,
scooby_state_40a8c0|35|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_440965|12|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|36|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|42|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|58|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c710b|21|2 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_418a93|18|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_419a5a|19|6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4070a0|2|-49 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4094b1|6|-23 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405ee0|59|22 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404e80|58|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bdfa|55|52 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|29|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0ba|38|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a5c3|23|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43fd0b|52|44 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|27|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405350|13|-49 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|26|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|20|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|35|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404cc0|51|15 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43945e|47|-4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|17|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40c8f5|14|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e2a1|12|-36 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df30|13|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_438e99|58|1 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4087b0|17|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43cf02|60|10 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e26c|43|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bd42|53|13 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_418aa3|58|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|22|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40973a|52|-10 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|25|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4575fb|55|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|29|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_418a93|18|-42 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bef5|59|-3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|48|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40e01e|8|1 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40624d|63|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4088b1|34|5 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|32|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ed98|40|0 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a910|36|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|20|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4060d8|3|-16 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|19|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e2a1|20|-38 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_44a284|10|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43cdb0|54|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43fdc3|55|53 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|16|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40b481|18|-42 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4058b0|34|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40abce|47|21 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43b183|6|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_439240|9|7 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43cc2a|48|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ec00|48|-13 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405480|18|-3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|26|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e2a1|49|19 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40cc43|24|-31 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_406038|0|-18 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_408c70|49|10 2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,
scooby_state_407e78|57|20 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|37|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|30|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43a003|0|-34 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|7|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4084c0|19|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c6f6b|19|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43f1e0|7|-45 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_438dc0|55|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ef76|61|5 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a100|4|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df56|10|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43f000|0|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40d182|6|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40b958|37|34 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df40|61|58 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405f03|60|21 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_419a5a|6|6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0ba|12|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a440|17|-21 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|53|24 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0ba|8|-1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457c45|49|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e2a1|29|17 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df56|54|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|29|12 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f6|37|-1 0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bc73|49|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_439f90|62|43 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43a480|18|11 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43e140|5|-4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404fe0|63|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bbc2|47|-2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43b964|37|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41b5b0|22|15 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4047bf|40|-1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_406064|1|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457b53|13|-22 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4076aa|26|-13 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4073e1|15|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457618|60|8 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e256|50|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404d02|52|-7 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40c8f5|35|-1 0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,
scooby_state_41a843|53|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4c7112|20|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40c8f5|18|0 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4575f2|40|37 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4094b1|52|36 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0a7|4|2 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4391c2|7|3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|59|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405350|13|13 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|16|1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bbc2|47|10 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405f42|61|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43ec6a|49|0 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40b086|2|-14 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_440981|38|-11 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|37|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40a9a8|38|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0a7|40|3 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4088c8|35|-3 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404f60|61|9 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_457b53|17|-38 0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,
scooby_state_44a205|8|-22 0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,
scooby_state_457618|48|30 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_404c83|50|-13 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43fcf0|51|6 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|28|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_405505|20|20 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43cd01|52|-7 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_440948|16|0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_41e0f1|59|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_43df41|61|-1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40df7f|53|2 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bf44|61|58 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_4087c2|31|-4 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_418aa3|61|1 0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,
scooby_state_407c48|49|-12 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_407ec0|59|21 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
scooby_state_40bbc2|47|42 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
