Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/482.sphinx3-1100B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/482.sphinx3-1100B.champsimtrace.xz
scooby_state_403bf7|16|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|21|-34 0,0,0,0,2,1,1,1,0,0,0,1,0,0,1,7,
scooby_state_418ab2|6|-12 0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,7,
scooby_state_40f55e|36|-1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,
scooby_state_4146a6|20|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ab2|17|-7 1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,7,
scooby_state_401742|29|1 6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|57|15 0,0,0,1,0,1,1,0,0,0,0,1,2,0,1,7,
scooby_state_40bfd6|14|0 1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,7,
scooby_state_418aba|46|18 1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,7,
scooby_state_4146a6|28|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_4146a6|19|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418aba|43|-3 3,0,0,0,1,0,0,0,0,0,1,0,0,1,1,7,
scooby_state_4146a6|7|0 6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,
scooby_state_40faf0|3|0 0,2,0,1,0,1,1,0,0,0,0,0,0,1,1,7,
scooby_state_4146a6|34|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_4146a6|44|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_40f529|60|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_40f536|48|-1 5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_4146a6|63|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418e42|57|0 6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|16|-7 0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,7,
scooby_state_418aba|2|-22 0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,7,
scooby_state_4146a6|57|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|61|11 0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,7,
scooby_state_40bf32|30|-1 4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7,
scooby_state_418ac2|44|29 0,1,0,2,0,0,0,1,0,0,1,0,1,1,0,7,
scooby_state_40f536|61|-1 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ab2|50|-12 0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,7,
scooby_state_418ac2|31|25 2,0,0,0,1,2,1,0,0,0,0,1,0,0,0,7,
scooby_state_418ab2|50|-2 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418aba|58|53 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_4144b0|54|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_40f529|57|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|11|3 0,0,0,0,0,1,0,0,1,0,0,2,0,1,2,7,
scooby_state_418ab2|32|-19 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|62|10 0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,7,
scooby_state_418ac2|51|34 3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,7,
scooby_state_403bf7|56|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|24|8 0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,7,
scooby_state_418ac2|2|-35 1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,7,
scooby_state_418ab2|37|37 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_40f536|57|-1 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_4146a6|38|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ab2|57|48 0,0,1,0,0,0,0,1,0,0,1,1,2,1,0,7,
scooby_state_418aba|63|50 1,1,2,0,0,0,0,0,0,1,0,0,1,0,1,7,
scooby_state_418aba|4|-28 4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7,
scooby_state_40f536|5|-1 6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_4063f4|38|1 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ab2|10|-14 6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|36|-20 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_40f529|59|0 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418ac2|37|23 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_418aba|24|17 6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
scooby_state_40fb2b|42|0 1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,7,
scooby_state_418ac2|38|6 0,0,0,1,1,0,1,0,0,0,0,1,1,2,0,7,
scooby_state_418aba|31|4 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403cb3|44|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40f2c8|42|-1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|50|50 0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,6,
scooby_state_403cdf|13|1 1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|41|40 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40f536|38|-1 1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|18|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4063f4|48|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401898|43|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403cb3|46|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4063d8|15|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf32|48|-1 2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,6,
scooby_state_40fb2b|38|0 4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,
scooby_state_401898|41|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|54|47 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4063f4|12|-1 5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403ca7|44|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bfd6|33|0 1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,6,
scooby_state_4013e8|7|3 4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|59|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|6|-33 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|37|25 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403cb3|45|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|29|17 2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,6,
scooby_state_418aba|4|-34 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40c12e|43|-1 0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,6,
scooby_state_4189a2|53|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bfd6|52|-5 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|49|16 2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|15|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|2|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|18|-5 5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,
scooby_state_4189a2|62|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|57|37 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|17|10 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40fb4a|63|0 0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,6,
scooby_state_4189a2|57|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|63|6 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|58|18 0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,6,
scooby_state_403bdb|40|8 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bd3|39|7 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403be3|46|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|4|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|17|13 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,
scooby_state_401742|8|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401898|12|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bf7|32|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aae|4|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|42|4 5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,
scooby_state_418aae|21|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|60|-3 4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,
scooby_state_40fae5|63|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bcf|16|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf32|57|-1 2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,6,
scooby_state_40bf32|28|-1 4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,
scooby_state_4189a2|41|8 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|7|-1 1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,6,
scooby_state_401742|6|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|50|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|61|-1 5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,
scooby_state_403c3d|52|1 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|58|1 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|45|4 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|11|-47 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|1|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|9|-39 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40fae5|26|-1 3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,
scooby_state_418ab2|58|16 4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,
scooby_state_40f2c2|6|0 3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|3|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|61|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|32|-17 4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,
scooby_state_40bf32|6|-1 3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,
scooby_state_418aba|23|22 5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,
scooby_state_418ab6|9|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|6|-43 4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,
scooby_state_401742|23|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|4|-29 2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,6,
scooby_state_401898|14|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|9|-1 2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,6,
scooby_state_403bd3|57|3 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_41899e|4|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdf|20|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aae|6|4 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|5|-26 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|49|29 0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,6,
scooby_state_403bcf|14|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|0|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|11|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|49|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|39|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf6c|49|-1 2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,6,
scooby_state_403bdb|59|1 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|56|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf32|37|-1 2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,6,
scooby_state_40bf32|3|-1 4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,
scooby_state_403bdb|38|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|0|-19 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418abe|43|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|11|-12 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|7|-44 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf6c|20|-1 4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,
scooby_state_4146a6|11|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|11|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_41899e|28|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|17|-22 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|39|28 4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,
scooby_state_40bf32|62|-1 1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,6,
scooby_state_403bf7|61|3 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|13|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_41b1dd|46|2 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418abe|18|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4146a6|41|25 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|59|4 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|1|-59 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|27|23 3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,
scooby_state_418ab2|38|-3 1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,6,
scooby_state_418ac2|30|15 1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,6,
scooby_state_403c3d|8|1 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bfd6|55|0 2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,6,
scooby_state_418ac2|50|30 1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,6,
scooby_state_418aba|13|-6 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40fae5|25|-1 1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,6,
scooby_state_418aba|42|-12 2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6,
scooby_state_40bf39|38|-1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bfdb|18|-25 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_41899e|14|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|59|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|42|-11 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aae|41|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|0|-31 0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,6,
scooby_state_418abe|38|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40fb2b|48|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|58|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|5|-31 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf6c|52|-1 4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,
scooby_state_403c3d|24|1 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403c3d|17|1 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf48|41|-7 3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,
scooby_state_414d03|1|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|21|-5 4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,
scooby_state_40c12e|41|-1 0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,6,
scooby_state_418aae|34|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|24|-27 0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,6,
scooby_state_418ab2|62|42 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|4|-26 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|62|1 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|2|-34 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bfd6|55|3 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|57|23 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|45|34 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|33|-2 0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,6,
scooby_state_403bdb|39|0 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403ca7|35|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403c3d|11|1 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403c25|18|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_41899e|27|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|12|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|63|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf32|59|-1 3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,
scooby_state_403bdb|62|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40f2c2|24|0 3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|14|-20 2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,6,
scooby_state_418ab2|18|-40 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bd3|38|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403cb3|47|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|53|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|63|37 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40fb4a|56|5 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|12|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|63|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|56|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|30|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|46|23 3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,
scooby_state_4189a2|34|1 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|54|2 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|31|-16 4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,
scooby_state_418aba|45|40 2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,6,
scooby_state_401742|44|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40c056|41|-5 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|5|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|2|1 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40fb2b|44|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|12|-41 3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,
scooby_state_418ab2|3|-27 0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,6,
scooby_state_403cb3|38|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4146a6|9|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418abe|60|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|35|23 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40bf39|55|-1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bcf|54|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4013e8|47|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|46|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_40f536|40|-1 3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|44|19 3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|5|-57 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403ca7|43|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|18|-39 1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,6,
scooby_state_418abe|7|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bfc|23|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bdb|4|0 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bd3|3|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4013e8|33|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4063f4|62|5 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403be3|17|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aae|10|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|9|0 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|51|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4063f4|63|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403bd7|24|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|9|3 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403c3d|2|1 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403cb3|35|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|17|7 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401742|10|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ac2|43|-18 0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,6,
scooby_state_403ca7|34|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418aba|29|-20 3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,
scooby_state_403bf7|23|0 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401898|21|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403ca7|36|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_401898|36|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403c3d|1|0 0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_418ab2|43|11 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_403cb3|37|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
scooby_state_4189a2|27|1 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
