Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/603.bwaves_s-1740B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/603.bwaves_s-1740B.champsimtrace.xz
scooby_state_401a86|23|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|43|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|21|1 417,0,0,0,1,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a93|5|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a61|44|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|44|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|44|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|36|1 418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|41|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|7|1 417,0,0,0,0,0,0,0,0,0,0,1,0,1,0,419,
scooby_state_401a54|34|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a61|24|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|34|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a93|34|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|35|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|35|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|44|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a6f|36|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|36|1 417,1,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a54|0|0 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|2|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|37|1 417,0,0,0,0,0,0,1,0,1,0,0,0,0,0,419,
scooby_state_401a86|37|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|37|1 415,0,0,0,0,0,0,0,0,1,0,2,1,0,0,419,
scooby_state_401a3c|25|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|12|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|37|1 418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,419,
scooby_state_401a86|38|1 417,0,0,0,0,0,0,0,2,0,0,0,0,0,0,419,
scooby_state_401a3c|44|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|38|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|11|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|0|0 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|10|1 417,0,1,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|21|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|0|0 417,0,0,0,0,1,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a3c|36|1 418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|26|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a93|19|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|20|1 417,0,0,1,0,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a54|61|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|23|1 417,0,0,0,1,0,0,0,0,0,0,0,1,0,0,419,
scooby_state_401a61|62|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|21|1 418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,419,
scooby_state_401a61|37|1 416,0,0,0,0,0,1,0,0,0,0,1,0,1,0,419,
scooby_state_401a30|22|1 417,0,1,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|39|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a30|9|1 417,0,0,1,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|38|1 417,0,0,0,0,0,1,0,0,0,0,0,0,0,1,419,
scooby_state_401a93|4|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|18|1 417,1,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a6f|9|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|5|1 417,0,0,1,0,0,0,0,0,0,0,0,0,1,0,419,
scooby_state_401a54|6|1 417,0,0,0,2,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|5|1 418,0,0,0,0,0,0,0,0,0,0,1,0,0,0,419,
scooby_state_401a93|42|1 417,0,0,0,0,0,0,0,0,1,0,1,0,0,0,419,
scooby_state_401a61|35|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|41|1 417,0,0,0,1,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a30|25|1 418,0,0,0,0,0,0,0,0,0,0,1,0,0,0,419,
scooby_state_401a61|0|0 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|12|1 418,0,0,0,0,0,0,0,0,0,1,0,0,0,0,419,
scooby_state_401a61|41|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|4|1 418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,419,
scooby_state_401a6f|0|0 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a3c|10|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|43|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|6|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a61|45|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a6f|37|1 418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|7|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|10|1 416,0,0,1,0,1,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a6f|22|1 418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|3|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|37|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a6f|19|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|62|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|5|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|22|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|36|1 418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|38|1 418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|7|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|21|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a61|20|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|36|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|42|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|42|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|8|1 418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|6|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|24|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|5|1 418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|25|1 418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,419,
scooby_state_401a30|35|1 418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|24|1 415,0,1,0,1,0,1,0,1,0,0,0,0,0,0,419,
scooby_state_401a86|0|0 418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|7|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|24|1 418,0,0,0,0,0,0,0,0,0,0,1,0,0,0,419,
scooby_state_401a93|10|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a93|14|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|20|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|1|1 417,1,0,0,0,0,0,0,0,0,0,1,0,0,0,419,
scooby_state_401a54|4|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|43|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|18|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a30|39|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|9|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|9|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|6|1 417,0,0,0,0,0,0,1,0,0,0,0,1,0,0,419,
scooby_state_401a3c|34|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|43|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|12|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|20|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|38|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|4|1 416,1,0,0,0,0,0,0,0,1,0,1,0,0,0,419,
scooby_state_401a93|1|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a54|26|1 418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,419,
scooby_state_401a61|39|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|6|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|35|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|7|1 415,1,0,0,1,0,0,1,0,0,1,0,0,0,0,419,
scooby_state_401a93|26|1 418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a61|10|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|5|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|6|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|39|1 417,0,0,0,0,0,0,1,0,0,1,0,0,0,0,419,
scooby_state_401a93|8|1 418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|61|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|21|1 417,0,0,0,0,1,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a6f|11|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|23|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|22|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|4|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|5|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|11|1 418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,419,
scooby_state_401a61|38|1 417,0,0,0,0,0,0,0,0,0,0,1,1,0,0,419,
scooby_state_401a54|43|1 418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,419,
scooby_state_401a93|9|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a61|42|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|42|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|34|1 418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,419,
scooby_state_401a54|21|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|19|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|24|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|61|1 418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|13|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|2|1 418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a54|25|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|18|1 418,0,0,0,0,0,0,0,0,0,1,0,0,0,0,419,
scooby_state_401a30|36|1 418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|23|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|44|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|23|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|22|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|8|1 417,0,0,0,0,0,1,0,0,0,0,0,0,0,1,419,
scooby_state_401a54|22|1 418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a54|42|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|0|0 415,0,0,0,1,0,1,0,1,1,0,0,0,0,0,419,
scooby_state_401a93|22|1 418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,419,
scooby_state_401a3c|11|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|19|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a54|12|1 417,0,0,0,0,0,0,0,0,0,0,1,0,0,1,419,
scooby_state_401a30|11|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|3|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|12|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|10|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|19|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|20|1 416,0,1,0,0,0,0,2,0,0,0,0,0,0,0,419,
scooby_state_401a86|26|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a54|19|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a30|58|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a54|57|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a6f|59|1 416,0,0,0,1,1,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|51|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|55|1 417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,418,
scooby_state_401a93|55|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|54|1 417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a6f|52|1 417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|45|1 417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418,
scooby_state_401a6f|60|1 416,0,0,0,0,1,1,0,0,0,0,0,0,0,0,418,
scooby_state_401a6f|58|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|53|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|60|1 417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a54|58|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|52|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|57|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|46|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|51|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,418,
scooby_state_401a61|59|1 417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|58|1 417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,418,
scooby_state_401a30|51|1 417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,418,
scooby_state_401a93|50|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|50|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|56|1 417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,418,
scooby_state_401a6f|55|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|51|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a6f|53|1 417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,418,
scooby_state_401a3c|53|1 417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|56|1 417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|59|1 417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,418,
scooby_state_401a54|56|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a54|53|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|53|1 416,0,0,0,0,0,0,0,0,0,1,0,0,0,1,418,
scooby_state_401a93|53|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|46|1 416,0,0,0,0,0,0,1,0,0,0,0,0,0,1,418,
scooby_state_401a3c|45|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a6f|57|1 416,0,0,0,0,0,0,0,1,0,0,0,0,1,0,418,
scooby_state_401a6f|14|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,418,
scooby_state_401a86|50|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|59|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|56|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|55|1 417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,418,
scooby_state_401a30|60|1 416,0,0,0,0,0,0,0,0,0,0,0,2,0,0,418,
scooby_state_401a86|57|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a54|59|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|57|1 416,1,0,0,0,0,0,0,1,0,0,0,0,0,0,418,
scooby_state_401a6f|56|1 416,0,0,1,0,0,0,0,0,0,1,0,0,0,0,418,
scooby_state_401a93|58|1 417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|60|1 417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|54|1 415,1,0,0,0,0,0,1,0,0,1,0,0,0,0,418,
scooby_state_401a86|58|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|59|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|60|1 416,0,0,1,0,0,0,0,0,0,0,0,1,0,0,418,
scooby_state_401a3c|52|1 417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|52|1 417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|56|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a6f|50|1 416,0,0,0,0,0,0,0,0,1,0,0,1,0,0,418,
scooby_state_401a54|52|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a54|60|1 417,0,0,0,0,0,0,0,0,0,0,1,0,0,0,418,
scooby_state_401a3c|54|1 416,1,1,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|50|1 417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|55|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,418,
scooby_state_401a54|55|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|54|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|51|1 416,0,0,0,1,0,0,0,0,0,0,1,0,0,0,418,
scooby_state_401a6f|54|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|54|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a54|54|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|60|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|52|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|52|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,418,
scooby_state_401a54|51|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a3c|59|1 417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,418,
scooby_state_401a3c|56|1 417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,418,
scooby_state_401a93|57|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a93|45|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a86|53|1 417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,418,
scooby_state_401a30|57|1 417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|50|1 417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|58|1 416,1,0,0,0,0,0,0,0,0,0,0,0,1,0,418,
scooby_state_401a54|50|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a30|55|1 417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418,
scooby_state_401a6f|51|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,
scooby_state_401a61|3|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,417,
scooby_state_401a86|17|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a61|1|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a61|2|1 415,0,2,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a3c|14|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a86|46|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a6f|62|1 416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,417,
scooby_state_401a3c|62|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a30|46|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a61|14|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a30|14|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a86|14|1 417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,
scooby_state_401a54|2|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a3c|3|1 415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,416,
scooby_state_401a61|46|1 415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,416,
scooby_state_401a86|49|1 415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,416,
scooby_state_401a30|1|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a30|3|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a54|1|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a6f|46|1 415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,416,
scooby_state_401a3c|1|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a30|2|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a54|3|1 416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,
scooby_state_401a3c|2|1 414,1,0,0,0,0,1,0,0,0,0,0,0,0,0,416,
scooby_state_401a30|62|1 415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,
scooby_state_401a54|62|1 413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,414,
scooby_state_401a54|14|1 412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,413,
scooby_state_401a54|46|1 412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,
scooby_state_401a54|28|1 410,0,0,0,0,0,0,0,1,0,0,0,0,1,0,412,
scooby_state_401a86|16|1 410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,411,
scooby_state_401a86|15|1 410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,
scooby_state_401a86|28|1 410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,
scooby_state_401a86|33|1 410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,
scooby_state_401a6f|49|1 410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,
scooby_state_401a54|63|1 409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,410,
scooby_state_401a61|17|1 409,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410,
scooby_state_401a3c|17|1 409,0,0,0,0,0,1,0,0,0,0,0,0,0,0,410,
